   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 typing.py:1297(__setattr__)
        2    0.000    0.000    0.000    0.000 typing.py:1304(__instancecheck__)
        1    0.000    0.000    0.000    0.000 typing.py:1353(__init__)
        3    0.000    0.000    0.000    0.000 typing.py:1358(<genexpr>)
        2    0.000    0.000    0.000    0.000 typing.py:1579(__subclasscheck__)
        3    0.000    0.000    0.000    0.000 typing.py:159(_type_convert)
        3    0.000    0.000    0.000    0.000 typing.py:168(_type_check)
        1    0.000    0.000    0.000    0.000 typing.py:247(_collect_parameters)
        1    0.000    0.000    0.000    0.000 typing.py:299(_deduplicate)
        1    0.000    0.000    0.000    0.000 typing.py:313(_remove_dups_flatten)
1136/1135    0.002    0.000    0.002    0.000 typing.py:352(inner)
        1    0.000    0.000    0.000    0.000 typing.py:458(__repr__)
      2/1    0.000    0.000    0.001    0.001 typing.py:479(__getitem__)
        1    0.000    0.000    0.000    0.000 typing.py:658(Union)
        3    0.000    0.000    0.000    0.000 typing.py:694(<genexpr>)
        1    0.000    0.000    0.001    0.001 typing.py:702(Optional)
        1    0.000    0.000    0.000    0.000 typing.py:845(__init__)
       17    0.000    0.000    0.000    0.000 typing.py:895(__eq__)
        2    0.000    0.000    0.000    0.000 typing.py:904(__hash__)
        1    0.000    0.000    0.000    0.000 util.py:171(register_after_fork)
        1    0.000    0.000    0.000    0.000 util.py:48(debug)
       12    0.000    0.000    0.000    0.000 utils.py:107(__init__)
       12    0.000    0.000    0.000    0.000 utils.py:111(__format__)
       10    0.000    0.000    0.000    0.000 utils.py:1151(drop_metadata)
        1    0.000    0.000    0.000    0.000 utils.py:124(__eq__)
        2    0.000    0.000    0.000    0.000 utils.py:138(__getattr__)
        3    0.000    0.000    0.000    0.000 utils.py:151(wrapper_setattr)
        1    0.000    0.000    0.000    0.000 utils.py:155(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:186(disable_on_exception)
       26    0.000    0.000    0.010    0.000 utils.py:193(inner)
        1    0.000    0.000    0.000    0.000 utils.py:212(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:221(__eq__)
        1    0.000    0.000    0.000    0.000 utils.py:251(_is_utf)
        1    0.000    0.000    0.000    0.000 utils.py:265(_supports_unicode)
       24    0.000    0.000    0.000    0.000 utils.py:272(_is_ascii)
        1    0.000    0.000    0.000    0.000 utils.py:281(_screen_shape_wrapper)
        1    0.000    0.000    0.000    0.000 utils.py:332(_screen_shape_linux)
        1    0.000    0.000    0.000    0.000 utils.py:346(<listcomp>)
       12    0.000    0.000    0.001    0.000 utils.py:373(_text_width)
     1049    0.000    0.000    0.001    0.000 utils.py:374(<genexpr>)
       12    0.000    0.000    0.001    0.000 utils.py:377(disp_len)
       10    0.000    0.000    0.000    0.000 utils.py:69(is_in_onnx_export)
     4500    0.004    0.000    0.006    0.000 view.py:10(_keys)
    11250    0.005    0.000    0.008    0.000 view.py:27(__iter__)
     4500    0.003    0.000    0.006    0.000 view.py:38(__iter__)
     4500    0.002    0.000    0.002    0.000 view.py:6(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:164(__setitem__)
        1    0.000    0.000    0.000    0.000 weakref.py:347(__new__)
        1    0.000    0.000    0.000    0.000 weakref.py:352(__init__)
     4500    0.001    0.000    0.001    0.000 worker.py:89(get_worker_info)
      362    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x556625227060}
     1510    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      4/3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       10    0.021    0.002    0.021    0.002 {built-in method _pickle.dump}
       10    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       10    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
       30    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       15    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        2    0.000    0.000    0.000    0.000 {built-in method _weakref.proxy}
        1    0.000    0.000    0.000    0.000 {built-in method atexit.register}
     1127    0.020    0.000    0.021    0.000 {built-in method builtins.__build_class__}
